,usd_por_unidad
1997-11-21,0.1327
1997-11-24,0.1328
1997-11-25,0.1317
1997-11-26,0.1299
1997-11-27,0.1301
1997-11-28,0.13
1997-12-01,0.1287
1997-12-02,0.1294
1997-12-03,0.1297
1997-12-04,0.1295
1997-12-05,0.1285
1997-12-09,0.1285
1997-12-10,0.1287
1997-12-11,0.1296
1997-12-12,0.1295
1997-12-15,0.1297
1997-12-16,0.1293
1997-12-17,0.1301
1997-12-18,0.1292
1997-12-19,0.1298
1997-12-22,0.1295
1997-12-23,0.1296
1997-12-24,0.1296
1997-12-26,0.1294
1997-12-29,0.1282
1997-12-30,0.1272
1998-01-02,0.1261
1998-01-05,0.1253
1998-01-06,0.1243
1998-01-07,0.125
1998-01-08,0.1252
1998-01-09,0.1259
1998-01-12,0.1251
1998-01-13,0.1254
1998-01-14,0.1254
1998-01-15,0.1255
1998-01-16,0.1251
1998-01-19,0.1251
1998-01-27,0.1304
1998-02-02,0.1247
1998-02-03,0.1246
1998-02-04,0.1251
1998-02-05,0.1258
1998-02-06,0.1249
1998-02-09,0.1238
1998-02-10,0.1238
1998-02-11,0.1239
1998-02-12,0.1248
1998-02-13,0.1242
1998-02-16,0.1241
1998-02-17,0.1236
1998-02-18,0.1241
1998-02-19,0.1243
1998-02-20,0.1243
1998-02-23,0.126
1998-02-24,0.1254
1998-02-25,0.1247
1998-02-26,0.1253
1998-02-27,0.1257
1998-03-02,0.1261
1998-03-03,0.1261
1998-03-04,0.1259
1998-03-05,0.1251
1998-03-06,0.1247
1998-03-09,0.1259
1998-03-10,0.1255
1998-03-11,0.1257
1998-03-12,0.126
1998-03-13,0.1273
1998-03-16,0.1267
1998-03-17,0.1265
1998-03-18,0.1265
1998-03-19,0.126
1998-03-20,0.1263
1998-03-23,0.1269
1998-03-24,0.127
1998-03-25,0.1267
1998-03-26,0.1276
1998-03-27,0.128
1998-03-30,0.1266
1998-03-31,0.1257
1998-04-01,0.1251
1998-04-02,0.1254
1998-04-03,0.1255
1998-04-06,0.1258
1998-04-07,0.1257
1998-04-08,0.1279
1998-04-13,0.128
1998-04-14,0.1295
1998-04-15,0.1295
1998-04-16,0.13
1998-04-17,0.1296
1998-04-20,0.1304
1998-04-21,0.1312
1998-04-22,0.1313
1998-04-23,0.1302
1998-04-24,0.1309
1998-04-27,0.1307
1998-04-28,0.1297
1998-04-29,0.1294
1998-04-30,0.1299
1998-05-04,0.1311
1998-05-05,0.1321
1998-05-06,0.1328
1998-05-07,0.1318
1998-05-08,0.132
1998-05-11,0.1318
1998-05-12,0.132
1998-05-13,0.1308
1998-05-14,0.1305
1998-05-15,0.1299
1998-05-18,0.1291
1998-05-19,0.1294
1998-05-20,0.1303
1998-05-21,0.1314
1998-05-22,0.1309
1998-05-26,0.1299
1998-05-27,0.1285
1998-05-28,0.1285
1998-05-29,0.1283
1998-06-01,0.1287
1998-06-02,0.129
1998-06-03,0.1297
1998-06-04,0.1301
1998-06-05,0.1285
1998-06-09,0.1276
1998-06-10,0.1261
1998-06-11,0.1256
1998-06-12,0.1257
1998-06-16,0.1252
1998-06-17,0.1268
1998-06-18,0.1265
1998-06-19,0.127
1998-06-22,0.1267
1998-06-23,0.1268
1998-06-24,0.1272
1998-06-25,0.1277
1998-06-26,0.1259
1998-06-29,0.1257
1998-06-30,0.1261
1998-07-01,0.125
1998-07-02,0.1245
1998-07-03,0.1242
1998-07-07,0.1245
1998-07-08,0.1247
1998-07-10,0.1246
1998-07-13,0.1253
1998-07-14,0.1249
1998-07-15,0.1253
1998-07-16,0.1266
1998-07-17,0.1271
1998-07-20,0.1275
1998-07-21,0.1263
1998-07-22,0.1264
1998-07-23,0.1265
1998-07-24,0.1277
1998-07-27,0.1276
1998-07-28,0.1282
1998-07-29,0.1271
1998-07-30,0.1266
1998-07-31,0.1265
1998-08-03,0.1258
1998-08-04,0.1266
1998-08-05,0.1269
1998-08-06,0.126
1998-08-07,0.1249
1998-08-10,0.1244
1998-08-11,0.1236
1998-08-12,0.1245
1998-08-13,0.1239
1998-08-14,0.1228
1998-08-18,0.1229
1998-08-19,0.1232
1998-08-20,0.1235
1998-08-21,0.1232
1998-08-24,0.1222
1998-08-25,0.1216
1998-08-26,0.121
1998-08-27,0.1208
1998-08-28,0.1245
1998-08-31,0.1248
1998-09-01,0.1266
1998-09-02,0.1264
1998-09-03,0.1274
1998-09-04,0.1272
1998-09-07,0.127
1998-09-08,0.1263
1998-09-09,0.1263
1998-09-10,0.1269
1998-09-11,0.1277
1998-09-14,0.128
1998-09-15,0.128
1998-09-16,0.1288
1998-09-17,0.1282
1998-09-18,0.1288
1998-09-21,0.127
1998-09-22,0.1276
1998-09-23,0.1272
1998-09-24,0.1282
